"","keys","plant_sp","family_Herrera","family_current"
"1",2882803,"Arbutus unedo","Ericaceae","Ericaceae"
"2",8053367,"Corema album","Empetraceae","Ericaceae"
"3",3082234,"Cornus sanguinea","Cornaceae","Cornaceae"
"4",9220780,"Crataegus monogyna","Rosaceae","Rosaceae"
"5",5361909,"Ficus carica","Moraceae","Moraceae"
"6",8351737,"Hedera helix","Araliaceae","Araliaceae"
"7",5414222,"Ilex aquifolium","Aquifoliaceae","Aquifoliaceae"
"8",2684709,"Juniperus communis","Cupressaceae","Cupressaceae"
"9",2684451,"Juniperus oxycedrus","Cupressaceae","Cupressaceae"
"10",2684640,"Juniperus phoenicea","Cupressaceae","Cupressaceae"
"11",3034015,"Laurus nobilis","Lauraceae","Lauraceae"
"12",5361888,"Morus nigra","Moraceae","Moraceae"
"13",3180085,"Myrtus communis","Myrtaceae","Myrtaceae"
"14",5415040,"Olea europaea","Oleaceae","Oleaceae"
"15",3789029,"Osyris alba","Santalaceae","Santalaceae"
"16",7325947,"Phillyrea angustifolia","Oleaceae","Oleaceae"
"17",7325923,"Phillyrea latifolia","Oleaceae","Oleaceae"
"18",3190583,"Pistacia lentiscus","Anacardiaceae","Anacardiaceae"
"19",3190580,"Pistacia terebinthus","Anacardiaceae","Anacardiaceae"
"20",3023221,"Prunus spinosa","Rosaceae","Rosaceae"
"21",6371424,"Rhamnus alaternus","Rhamnaceae","Rhamnaceae"
"22",6371380,"Rhamnus lycioides","Rhamnaceae","Rhamnaceae"
"23",3002461,"Rosa canina","Rosaceae","Rosaceae"
"24",2892347,"Rubia peregrina","Rubiaceae","Rubiaceae"
"25",2996929,"Rubus ulmifolius","Rosaceae","Rosaceae"
"26",2888728,"Sambucus nigra","Caprifoliaceae","Adoxaceae"
"27",5295044,"Smilax aspera","Liliaceae","Smilacaceae"
"28",9150405,"Solanum nigrum","Solanaceae","Solanaceae"
"29",5284517,"Taxus baccata","Taxaceae","Taxaceae"
"30",2882833,"Vaccinium myrtillus","Ericaceae","Ericaceae"
"31",5372392,"Vitis vinifera","Vitaceae","Vitaceae"
